elevation_deg,link_margin_db,hybrid_mcs
5.0,5.9,16-QAM
5.018893087352745,5.903400755723494,16-QAM
5.03778617470549,5.906801511446988,16-QAM
5.0566792620582355,5.910202267170482,16-QAM
5.07557234941098,5.913603022893977,16-QAM
5.094465436763725,5.91700377861747,16-QAM
5.11335852411647,5.920404534340965,16-QAM
5.132251611469215,5.923805290064458,16-QAM
5.151144698821961,5.927206045787953,16-QAM
5.1700377861747056,5.930606801511447,16-QAM
5.18893087352745,5.934007557234941,16-QAM
5.207823960880195,5.937408312958435,16-QAM
5.226717048232941,5.940809068681929,16-QAM
5.245610135585686,5.944209824405424,16-QAM
5.264503222938431,5.947610580128917,16-QAM
5.283396310291176,5.951011335852412,16-QAM
5.3022893976439205,5.954412091575906,16-QAM
5.321182484996666,5.9578128472994,16-QAM
5.340075572349411,5.961213603022894,16-QAM
5.358968659702156,5.964614358746388,16-QAM
5.377861747054901,5.968015114469882,16-QAM
5.396754834407647,5.971415870193376,16-QAM
5.4156479217603914,5.974816625916871,16-QAM
5.434541009113136,5.9782173816403645,16-QAM
5.453434096465881,5.981618137363858,16-QAM
5.472327183818626,5.985018893087353,16-QAM
5.491220271171372,5.988419648810847,16-QAM
5.510113358524117,5.991820404534341,16-QAM
5.5290064458768615,5.995221160257835,16-QAM
5.547899533229606,5.998621915981329,16-QAM
5.566792620582351,6.0020226717048235,64-QAM
5.585685707935097,6.005423427428317,64-QAM
5.604578795287842,6.008824183151812,64-QAM
5.623471882640587,6.012224938875305,64-QAM
5.642364969993332,6.0156256945988,64-QAM
5.6612580573460765,6.019026450322293,64-QAM
5.680151144698822,6.022427206045788,64-QAM
5.699044232051567,6.0258279617692825,64-QAM
5.717937319404312,6.029228717492776,64-QAM
5.736830406757057,6.03262947321627,64-QAM
5.7557234941098026,6.036030228939764,64-QAM
5.774616581462547,6.039430984663259,64-QAM
5.793509668815292,6.042831740386752,64-QAM
5.812402756168037,6.046232496110247,64-QAM
5.831295843520783,6.049633251833741,64-QAM
5.850188930873528,6.053034007557235,64-QAM
5.869082018226273,6.056434763280729,64-QAM
5.8879751055790175,6.059835519004223,64-QAM
5.906868192931762,6.063236274727717,64-QAM
5.925761280284508,6.066637030451211,64-QAM
5.944654367637253,6.070037786174705,64-QAM
5.963547454989998,6.0734385418981995,64-QAM
5.982440542342743,6.076839297621694,64-QAM
6.001333629695488,6.080240053345188,64-QAM
6.020226717048233,6.083640809068682,64-QAM
6.039119804400978,6.087041564792176,64-QAM
6.058012891753723,6.09044232051567,64-QAM
6.076905979106468,6.093843076239164,64-QAM
6.095799066459213,6.0972438319626585,64-QAM
6.1146921538119585,6.100644587686153,64-QAM
6.133585241164703,6.104045343409647,64-QAM
6.152478328517448,6.10744609913314,64-QAM
6.171371415870193,6.110846854856635,64-QAM
6.190264503222938,6.114247610580129,64-QAM
6.209157590575684,6.117648366303623,64-QAM
6.228050677928429,6.121049122027117,64-QAM
6.2469437652811735,6.124449877750611,64-QAM
6.265836852633919,6.127850633474106,64-QAM
6.284729939986663,6.131251389197599,64-QAM
6.303623027339409,6.134652144921094,64-QAM
6.322516114692154,6.138052900644587,64-QAM
6.341409202044899,6.141453656368082,64-QAM
6.360302289397644,6.144854412091576,64-QAM
6.379195376750389,6.14825516781507,64-QAM
6.398088464103134,6.151655923538565,64-QAM
6.416981551455879,6.155056679262058,64-QAM
6.435874638808624,6.158457434985552,64-QAM
6.45476772616137,6.161858190709046,64-QAM
6.4736608135141145,6.165258946432541,64-QAM
6.492553900866859,6.1686597021560345,64-QAM
6.511446988219604,6.172060457879528,64-QAM
6.530340075572349,6.175461213603023,64-QAM
6.549233162925095,6.178861969326517,64-QAM
6.56812625027784,6.182262725050011,64-QAM
6.587019337630585,6.185663480773505,64-QAM
6.605912424983329,6.189064236496999,64-QAM
6.624805512336074,6.1924649922204935,64-QAM
6.64369859968882,6.195865747943987,64-QAM
6.662591687041565,6.199266503667482,64-QAM
6.68148477439431,6.202667259390976,64-QAM
6.700377861747055,6.20606801511447,64-QAM
6.7192709490997995,6.2094687708379634,64-QAM
6.738164036452545,6.212869526561458,64-QAM
6.75705712380529,6.2162702822849525,64-QAM
6.775950211158035,6.219671038008446,64-QAM
6.794843298510781,6.223071793731941,64-QAM
6.813736385863525,6.226472549455434,64-QAM
6.8326294732162705,6.229873305178929,64-QAM
6.851522560569015,6.233274060902422,64-QAM
6.87041564792176,6.236674816625917,64-QAM
6.889308735274506,6.2400755723494115,64-QAM
6.908201822627251,6.243476328072905,64-QAM
6.927094909979996,6.246877083796399,64-QAM
6.9459879973327405,6.250277839519893,64-QAM
6.964881084685485,6.253678595243388,64-QAM
6.983774172038231,6.257079350966881,64-QAM
7.002667259390976,6.260480106690376,64-QAM
7.021560346743721,6.2638808624138695,64-QAM
7.040453434096466,6.267281618137364,64-QAM
7.059346521449211,6.270682373860858,64-QAM
7.078239608801956,6.274083129584352,64-QAM
7.097132696154701,6.277483885307846,64-QAM
7.116025783507446,6.28088464103134,64-QAM
7.134918870860192,6.284285396754834,64-QAM
7.153811958212936,6.2876861524783285,64-QAM
7.172705045565682,6.291086908201823,64-QAM
7.191598132918426,6.294487663925317,64-QAM
7.210491220271171,6.29788841964881,64-QAM
7.229384307623917,6.301289175372305,64-QAM
7.248277394976661,6.304689931095799,64-QAM
7.267170482329407,6.308090686819293,64-QAM
7.286063569682152,6.3114914425427875,64-QAM
7.3049566570348965,6.314892198266281,64-QAM
7.323849744387642,6.318292953989776,64-QAM
7.342742831740386,6.321693709713269,64-QAM
7.361635919093132,6.325094465436764,64-QAM
7.380529006445877,6.328495221160258,64-QAM
7.399422093798622,6.331895976883752,64-QAM
7.4183151811513675,6.335296732607246,64-QAM
7.437208268504111,6.33869748833074,64-QAM
7.456101355856857,6.342098244054235,64-QAM
7.474994443209602,6.345498999777728,64-QAM
7.493887530562347,6.348899755501222,64-QAM
7.512780617915093,6.352300511224716,64-QAM
7.5316737052678375,6.355701266948211,64-QAM
7.550566792620582,6.3591020226717045,64-QAM
7.569459879973327,6.362502778395199,64-QAM
7.588352967326072,6.365903534118693,64-QAM
7.607246054678818,6.369304289842187,64-QAM
7.626139142031563,6.372705045565681,64-QAM
7.645032229384308,6.376105801289175,64-QAM
7.663925316737053,6.37950655701267,64-QAM
7.682818404089797,6.3829073127361635,64-QAM
7.701711491442543,6.386308068459657,64-QAM
7.720604578795288,6.389708824183152,64-QAM
7.739497666148033,6.393109579906646,64-QAM
7.758390753500779,6.39651033563014,64-QAM
7.7772838408535225,6.3999110913536335,64-QAM
7.796176928206268,6.403311847077128,64-QAM
7.815070015559013,6.4067126028006225,64-QAM
7.833963102911758,6.410113358524116,64-QAM
7.852856190264504,6.413514114247611,64-QAM
7.871749277617248,6.416914869971104,64-QAM
7.8906423649699935,6.420315625694599,64-QAM
7.909535452322738,6.423716381418092,64-QAM
7.928428539675483,6.427117137141587,64-QAM
7.947321627028229,6.4305178928650815,64-QAM
7.966214714380973,6.433918648588575,64-QAM
7.985107801733719,6.43731940431207,64-QAM
8.004000889086463,6.440720160035563,64-QAM
8.022893976439208,6.444120915759058,64-QAM
8.041787063791954,6.447521671482551,64-QAM
8.060680151144698,6.450922427206046,64-QAM
8.079573238497444,6.4543231829295395,64-QAM
8.09846632585019,6.457723938653034,64-QAM
8.117359413202934,6.461124694376528,64-QAM
8.13625250055568,6.464525450100022,64-QAM
8.155145587908425,6.467926205823517,64-QAM
8.17403867526117,6.47132696154701,64-QAM
8.192931762613915,6.474727717270505,64-QAM
8.211824849966659,6.4781284729939985,64-QAM
8.230717937319405,6.481529228717493,64-QAM
8.249611024672149,6.484929984440987,64-QAM
8.268504112024894,6.488330740164481,64-QAM
8.28739719937764,6.491731495887976,64-QAM
8.306290286730384,6.495132251611469,64-QAM
8.32518337408313,6.498533007334963,64-QAM
8.344076461435876,6.5019337630584575,64-QAM
8.36296954878862,6.505334518781952,64-QAM
8.381862636141365,6.508735274505446,64-QAM
8.40075572349411,6.512136030228939,64-QAM
8.419648810846855,6.515536785952434,64-QAM
8.438541898199599,6.518937541675928,64-QAM
8.457434985552345,6.522338297399422,64-QAM
8.47632807290509,6.5257390531229165,64-QAM
8.495221160257834,6.52913980884641,64-QAM
8.51411424761058,6.532540564569905,64-QAM
8.533007334963326,6.535941320293398,64-QAM
8.55190042231607,6.539342076016893,64-QAM
8.570793509668816,6.542742831740387,64-QAM
8.589686597021561,6.546143587463881,64-QAM
8.608579684374305,6.5495443431873746,64-QAM
8.62747277172705,6.552945098910869,64-QAM
8.646365859079795,6.556345854634364,64-QAM
8.665258946432541,6.559746610357857,64-QAM
8.684152033785285,6.563147366081351,64-QAM
8.70304512113803,6.566548121804845,64-QAM
8.721938208490776,6.56994887752834,64-QAM
8.74083129584352,6.5733496332518335,64-QAM
8.759724383196266,6.576750388975328,64-QAM
8.778617470549012,6.580151144698823,64-QAM
8.797510557901756,6.583551900422316,64-QAM
8.816403645254502,6.58695265614581,64-QAM
8.835296732607246,6.590353411869304,64-QAM
8.854189819959991,6.593754167592799,64-QAM
8.873082907312735,6.5971549233162925,64-QAM
8.891975994665481,6.600555679039786,64-QAM
8.910869082018227,6.603956434763281,64-QAM
8.92976216937097,6.607357190486775,64-QAM
8.948655256723717,6.610757946210269,64-QAM
8.967548344076462,6.614158701933763,64-QAM
8.986441431429206,6.617559457657257,64-QAM
9.005334518781952,6.6209602133807515,64-QAM
9.024227606134698,6.624360969104245,64-QAM
9.043120693487442,6.62776172482774,64-QAM
9.062013780840186,6.631162480551233,64-QAM
9.080906868192931,6.634563236274728,64-QAM
9.099799955545677,6.637963991998221,64-QAM
9.118693042898421,6.641364747721716,64-QAM
9.137586130251167,6.64476550344521,64-QAM
9.156479217603913,6.648166259168704,64-QAM
9.175372304956657,6.651567014892198,64-QAM
9.194265392309402,6.654967770615692,64-QAM
9.213158479662148,6.658368526339187,64-QAM
9.232051567014892,6.66176928206268,64-QAM
9.250944654367636,6.665170037786174,64-QAM
9.269837741720384,6.668570793509669,64-QAM
9.288730829073128,6.671971549233163,64-QAM
9.307623916425872,6.675372304956657,64-QAM
9.326517003778617,6.678773060680151,64-QAM
9.345410091131363,6.682173816403646,64-QAM
9.364303178484107,6.685574572127139,64-QAM
9.383196265836853,6.688975327850633,64-QAM
9.402089353189599,6.6923760835741275,64-QAM
9.420982440542343,6.695776839297622,64-QAM
9.439875527895087,6.699177595021116,64-QAM
9.458768615247834,6.70257835074461,64-QAM
9.477661702600578,6.705979106468104,64-QAM
9.496554789953322,6.709379862191598,64-QAM
9.515447877306068,6.712780617915092,64-QAM
9.534340964658814,6.7161813736385865,64-QAM
9.553234052011558,6.71958212936208,64-QAM
9.572127139364303,6.722982885085575,64-QAM
9.591020226717049,6.726383640809068,64-QAM
9.609913314069793,6.729784396532563,64-QAM
9.628806401422539,6.733185152256057,64-QAM
9.647699488775284,6.736585907979551,64-QAM
9.666592576128028,6.739986663703045,64-QAM
9.685485663480772,6.743387419426539,64-QAM
9.704378750833518,6.746788175150034,64-QAM
9.723271838186264,6.750188930873527,64-QAM
9.742164925539008,6.753589686597021,64-QAM
9.761058012891754,6.756990442320515,64-QAM
9.7799511002445,6.76039119804401,64-QAM
9.798844187597243,6.7637919537675035,64-QAM
9.81773727494999,6.767192709490998,64-QAM
9.836630362302735,6.770593465214493,64-QAM
9.855523449655479,6.773994220937986,64-QAM
9.874416537008223,6.77739497666148,64-QAM
9.89330962436097,6.780795732384974,64-QAM
9.912202711713714,6.784196488108469,64-QAM
9.931095799066458,6.7875972438319625,64-QAM
9.949988886419204,6.790997999555456,64-QAM
9.96888197377195,6.794398755278951,64-QAM
9.987775061124694,6.797799511002445,64-QAM
10.00666814847744,6.801200266725939,64-QAM
10.025561235830185,6.804601022449433,64-QAM
10.04445432318293,6.808001778172927,64-QAM
10.063347410535675,6.8114025338964215,64-QAM
10.08224049788842,6.814803289619916,64-QAM
10.101133585241165,6.81820404534341,64-QAM
10.120026672593909,6.821604801066903,64-QAM
10.138919759946655,6.825005556790398,64-QAM
10.1578128472994,6.828406312513892,64-QAM
10.176705934652144,6.831807068237386,64-QAM
10.19559902200489,6.8352078239608804,64-QAM
10.214492109357636,6.838608579684374,64-QAM
10.23338519671038,6.842009335407869,64-QAM
10.252278284063125,6.845410091131362,64-QAM
10.271171371415871,6.848810846854857,64-QAM
10.290064458768615,6.85221160257835,64-QAM
10.30895754612136,6.855612358301845,64-QAM
10.327850633474107,6.859013114025339,64-QAM
10.34674372082685,6.862413869748833,64-QAM
10.365636808179595,6.865814625472327,64-QAM
10.38452989553234,6.869215381195821,64-QAM
10.403422982885086,6.872616136919316,64-QAM
10.42231607023783,6.876016892642809,64-QAM
10.441209157590576,6.879417648366304,64-QAM
10.460102244943322,6.8828184040897975,64-QAM
10.478995332296066,6.886219159813292,64-QAM
10.497888419648811,6.889619915536786,64-QAM
10.516781507001557,6.89302067126028,64-QAM
10.535674594354301,6.896421426983774,64-QAM
10.554567681707045,6.899822182707268,64-QAM
10.57346076905979,6.903222938430762,64-QAM
10.592353856412537,6.9066236941542565,64-QAM
10.61124694376528,6.91002444987775,64-QAM
